date,ticker,ret_10d,macro_central,macro_final,confidence,final_close_pos,final_body_ratio
2008-02-04 14:30:00+00:00,QQQ,-1.0765130026118837,NONE,NONE,1.0,0.522,0.428
2008-02-13 14:30:00+00:00,MRK,-5.711543974629612,NONE,BULLISH_ENGULFING,0.6,0.56,0.301
2008-02-14 14:30:00+00:00,MRK,-5.974743606949057,NONE,BULLISH_ENGULFING,0.6,0.601,0.399
2008-02-19 14:30:00+00:00,AAPL,1.7372673148407352,NONE,BEARISH_MARUBOZU,1.1,0.253,0.463
2008-02-19 14:30:00+00:00,MRK,-6.711007948870841,HANGING_MAN,NONE,1.0,0.537,0.457
2008-02-19 14:30:00+00:00,QQQ,-0.9807292253543303,NONE,EVENING_STAR,1.0,0.426,0.22
2008-02-29 14:30:00+00:00,MSFT,2.447561505247261,NONE,SHOOTING_STAR,1.4300000000000002,0.087,0.529
2008-02-29 14:30:00+00:00,QQQ,-1.7555869679309295,NONE,EVENING_STAR,1.1,0.154,0.101
2008-03-03 14:30:00+00:00,AAPL,3.505431930852444,BEARISH_ENGULFING,NONE,1.25,0.375,0.375
2008-03-03 14:30:00+00:00,MRK,-4.412773543466429,NONE,NONE,1.1,0.048,0.112
2008-03-03 14:30:00+00:00,QQQ,-2.427547573098125,NONE,NONE,1.1,0.163,0.42
2008-03-06 14:30:00+00:00,MRK,2.729339133145518,BULLISH_ENGULFING,BEARISH_MARUBOZU,1.265,0.014,0.914
2008-03-07 14:30:00+00:00,MRK,5.638845821750734,BULLISH_ENGULFING,THREE_BLACK_CROWS,1.1,0.034,0.782
2008-03-10 13:30:00+00:00,MSFT,2.260002196800327,NONE,NONE,1.0,0.565,0.359
2008-03-14 13:30:00+00:00,AMZN,8.018846485978761,NONE,NONE,1.0,0.571,0.336
2008-03-14 13:30:00+00:00,MRK,-6.74300947492972,TWEEZER_TOP,THREE_BLACK_CROWS,1.265,0.06,0.823
2008-03-31 13:30:00+00:00,MRK,7.6135261189193,THREE_BLACK_CROWS,BEARISH_ENGULFING,1.1,0.127,0.432
2008-04-04 13:30:00+00:00,MRK,-2.27116235503764,DOJI,NONE,1.0,0.357,0.26
2008-04-14 13:30:00+00:00,MRK,-1.399067288474345,MORNING_STAR,NONE,1.0,0.514,0.331
2008-04-29 13:30:00+00:00,MRK,4.355933689767891,NONE,NONE,1.1,0.032,0.719
2008-04-30 13:30:00+00:00,MRK,4.998156106591761,NONE,NONE,1.1,0.228,0.662
