ticker,date,trend,layer,pattern,sentiment,entry_price,price_3d,ret_3d,price_5d,ret_5d,price_10d,ret_10d
TSLA,2021-09-14,MUY_ALCISTA,MACRO (Weekly),HANGING_MAN,BEARISH,247.72,253.16,2.2,246.46,-0.51,259.19,4.63
TSLA,2021-09-15,MUY_ALCISTA,MACRO (Weekly),THREE_WHITE_SOLDIERS,BULLISH,251.32,243.39,-3.16,250.65,-0.27,260.44,3.63
TSLA,2021-09-16,MUY_ALCISTA,MACRO (Weekly),TWEEZER_TOP,BEARISH,252.02,246.46,-2.2,251.21,-0.32,258.49,2.57
TSLA,2021-09-22,MUY_ALCISTA,MACRO (Weekly),TWEEZER_TOP,BEARISH,251.32,263.79,4.96,260.44,3.63,260.92,3.82
TSLA,2021-09-24,MUY_ALCISTA,MICRO (Daily),BULLISH_ENGULFING,BULLISH,258.7,260.44,0.67,258.41,-0.11,261.83,1.21
TSLA,2021-09-28,MUY_ALCISTA,MACRO (Weekly),MORNING_STAR,BULLISH,260.69,258.41,-0.88,260.2,-0.19,268.57,3.02
TSLA,2021-09-29,MUY_ALCISTA,MICRO (Daily),DOJI,NEUTRAL,259.86,260.51,0.25,260.92,0.41,270.36,4.04
TSLA,2021-09-30,MUY_ALCISTA,MACRO (Weekly),BULLISH_ENGULFING,BULLISH,260.04,260.2,0.06,264.54,1.73,272.77,4.9
TSLA,2021-10-01,MUY_ALCISTA,MACRO (Weekly),GRAVESTONE_DOJI,BEARISH,264.47,260.92,-1.34,261.83,-1.0,281.01,6.25
TSLA,2021-10-05,MUY_ALCISTA,MACRO (Weekly),GRAVESTONE_DOJI,BEARISH,258.29,261.83,1.37,268.57,3.98,288.09,11.54
TSLA,2021-10-06,MUY_ALCISTA,MICRO (Daily),TWEEZER_BOTTOM,BULLISH,262.54,263.98,0.55,270.36,2.98,288.6,9.93
TSLA,2021-10-06,MUY_ALCISTA,MACRO (Weekly),DOJI,NEUTRAL,261.1,263.98,1.1,270.36,3.55,288.6,10.53
TSLA,2021-10-12,MUY_ALCISTA,MICRO (Daily),MORNING_STAR,BULLISH,270.48,281.01,3.89,288.09,6.51,339.48,25.51
TSLA,2021-10-13,MUY_ALCISTA,MICRO (Daily),DOJI,NEUTRAL,271.6,290.04,6.79,288.6,6.26,345.95,27.38
TSLA,2021-10-15,MUY_ALCISTA,MICRO (Daily),BULLISH_MARUBOZU,BULLISH,284.72,288.6,1.36,303.23,6.5,371.33,30.42
