date,ticker,ret_10d,signal,confidence,regime
2007-07-17 13:30:00+00:00,AAPL,-4.8183290052930765,-1,0.5,BULL
2007-07-17 13:30:00+00:00,XOM,-4.439589830428152,-1,0.25,BULL
2007-07-17 13:30:00+00:00,COST,-3.813692204554954,-1,0.5,BULL
2007-07-17 13:30:00+00:00,QQQ,-4.926689736563107,-1,0.5,BULL
2007-07-18 13:30:00+00:00,AAPL,-3.8571009444964797,-1,0.5,BULL
2007-07-18 13:30:00+00:00,XOM,-6.384268953894693,-1,0.5,BULL
2007-07-18 13:30:00+00:00,COST,-4.313239872367358,-1,0.5,BULL
2007-07-18 13:30:00+00:00,QQQ,-5.045118445832077,-1,0.5,BULL
2007-07-19 13:30:00+00:00,AAPL,-3.9262777004805907,-1,0.5,BULL
2007-07-19 13:30:00+00:00,XOM,-7.605866843746403,-1,0.5,BULL
2007-07-19 13:30:00+00:00,COST,-2.3466184627489315,-1,0.5,BULL
2007-07-19 13:30:00+00:00,IBM,-1.5750852832409765,-1,0.5,BULL
2007-07-19 13:30:00+00:00,QQQ,-3.9958481084034227,-1,0.5,BULL
2007-07-20 13:30:00+00:00,AAPL,-8.271313636323255,-1,0.5,BULL
2007-07-20 13:30:00+00:00,XOM,-10.93942307452346,-1,0.5,BULL
2007-07-20 13:30:00+00:00,COST,-2.0182551509653996,-1,0.25,BULL
2007-07-20 13:30:00+00:00,IBM,-2.736485061715516,-1,0.5,BULL
2007-07-20 13:30:00+00:00,QQQ,-5.629981565805966,-1,0.5,BULL
2007-07-23 13:30:00+00:00,AAPL,-3.0917556092794203,-1,0.5,BULL
2007-07-23 13:30:00+00:00,XOM,-9.905276505851411,-1,0.5,BULL
2007-07-23 13:30:00+00:00,COST,2.9967610434992515,-1,0.25,BULL
2007-07-23 13:30:00+00:00,IBM,-1.4093126728596053,-1,0.5,BULL
2007-07-23 13:30:00+00:00,QQQ,-3.7037249675604804,-1,0.5,BULL
2007-07-24 13:30:00+00:00,XOM,-6.4645421813699855,-1,0.25,BULL
2007-07-24 13:30:00+00:00,IBM,-2.552700968958817,-1,0.5,BULL
2007-07-25 13:30:00+00:00,AAPL,-8.876415237709512,-1,0.25,BULL
2007-07-25 13:30:00+00:00,AMZN,-9.11109293384906,-1,0.5,BULL
2007-07-25 13:30:00+00:00,XOM,-3.2545758719746383,-1,0.5,BULL
2007-07-25 13:30:00+00:00,IBM,-3.7156902822857005,-1,0.5,BULL
2007-07-26 13:30:00+00:00,AAPL,-13.846927155014457,-1,0.5,BULL
2007-07-26 13:30:00+00:00,AMZN,-12.352906392289036,-1,0.25,BULL
2007-07-26 13:30:00+00:00,IBM,-5.239916829193789,-1,0.5,BULL
2007-07-27 13:30:00+00:00,AAPL,-13.744334514894597,-1,0.5,BULL
2007-07-27 13:30:00+00:00,AMZN,-10.178369808057269,-1,0.25,BULL
2007-07-27 13:30:00+00:00,JPM,-1.4542458187648903,1,1.0,BULL
2007-07-27 13:30:00+00:00,IBM,-2.2417399189220566,-1,0.5,BULL
2007-07-30 13:30:00+00:00,AAPL,-11.359123247111558,-1,0.25,BULL
2007-07-30 13:30:00+00:00,AMZN,-11.157784818387846,-1,0.25,BULL
2007-07-30 13:30:00+00:00,JPM,-3.1873515809971718,1,0.7,BULL
2007-07-30 13:30:00+00:00,IBM,-2.1529559248055894,-1,0.25,BULL
2007-07-30 13:30:00+00:00,SPY,-2.3808256610003973,1,0.5,BULL
2007-08-01 13:30:00+00:00,JPM,-3.340374574930867,1,0.7,BULL
2007-08-01 13:30:00+00:00,MCD,-1.3298458814100382,1,1.0,BULL
2007-08-01 13:30:00+00:00,SPY,-4.060948511050167,1,0.7,BULL
2007-08-02 13:30:00+00:00,JPM,1.5952941292130434,1,1.0,BULL
2007-08-02 13:30:00+00:00,MCD,-2.167455456233034,1,1.0,BULL
2007-08-02 13:30:00+00:00,SPY,-3.803185799970227,1,0.7,BULL
2007-08-06 13:30:00+00:00,JPM,2.8995101395614924,1,0.99,BULL
2007-08-06 13:30:00+00:00,COST,-7.656273412717391,-1,0.5,BULL
2007-08-06 13:30:00+00:00,MCD,-1.7097699979645826,1,1.0,BULL
2007-08-06 13:30:00+00:00,SPY,-1.1461415966702577,1,1.0,BULL
2007-08-07 13:30:00+00:00,JPM,0.5528228790319177,1,0.69,BULL
2007-08-07 13:30:00+00:00,COST,-7.432432432432437,-1,0.5,BULL
2007-08-07 13:30:00+00:00,MCD,-3.1142347136919817,1,1.0,BULL
2007-08-07 13:30:00+00:00,PEP,-0.5607545388930905,-1,0.25,BULL
2007-08-07 13:30:00+00:00,SPY,-2.5582478905435724,1,0.7,BULL
2007-08-08 13:30:00+00:00,COST,-5.351108663774049,-1,0.5,BULL
2007-08-08 13:30:00+00:00,PEP,-1.184919210053864,-1,0.5,BULL
2007-08-09 13:30:00+00:00,COST,-3.64820761389948,-1,0.5,BULL
2007-08-10 13:30:00+00:00,JPM,1.2003083360863536,1,0.48,BULL
2007-08-10 13:30:00+00:00,COST,-2.3772736282054026,-1,0.5,BULL
