layer,pattern,regime,n,delta_wr,delta_avg,pat_wr,base_wr
MICRO,DRAGONFLY_DOJI,BAJISTA,186,-3.739545997610513,-0.7316399671394476,51.075268817204304,54.81481481481482
MICRO,DRAGONFLY_DOJI,HORIZONTAL,155,-6.436056747366166,-0.04413682596866035,46.45161290322581,52.887669650591974
MICRO,DRAGONFLY_DOJI,ALCISTA,198,3.4282283484264724,0.06118909485811,54.54545454545454,51.11722619702807
MICRO,EVENING_STAR,HORIZONTAL,253,-3.0852981090899974,-0.17890552340599525,49.80237154150198,52.887669650591974
MICRO,GRAVESTONE_DOJI,MUY_BAJISTA,87,-3.3444173888757973,-0.6566907215082863,55.172413793103445,58.51683118197924
MICRO,GRAVESTONE_DOJI,BAJISTA,131,-8.249929318631608,-0.7859822399629954,46.56488549618321,54.81481481481482
MICRO,HAMMER,MUY_BAJISTA,33,5.119532454384391,-1.2171730338374722,63.63636363636363,58.51683118197924
MICRO,HAMMER,BAJISTA,103,6.3502337288745,0.9609888889921308,61.165048543689316,54.81481481481482
MICRO,HAMMER,HORIZONTAL,57,-9.02802052778496,-0.9536063795282064,43.859649122807014,52.887669650591974
MICRO,HAMMER,ALCISTA,98,3.9848146192984544,0.3913760123782482,55.10204081632652,51.11722619702807
MICRO,HAMMER,MUY_ALCISTA,80,10.825248325248324,0.638809857047725,62.5,51.674751674751676
